ID,id,lat,lon,datetime
EP021952,            UNNAMED,18.3,-108.0,1952-06-16 00:00:00
EP021952,            UNNAMED,18.6,-108.0,1952-06-16 06:00:00
EP021952,            UNNAMED,19.0,-108.0,1952-06-16 12:00:00
EP031952,            UNNAMED,19.5,-108.7,1952-07-19 00:00:00
EP031952,            UNNAMED,20.2,-109.6,1952-07-19 06:00:00
EP031952,            UNNAMED,20.7,-110.5,1952-07-19 12:00:00
EP031952,            UNNAMED,21.1,-111.3,1952-07-19 18:00:00
EP031952,            UNNAMED,21.4,-112.1,1952-07-20 00:00:00
EP031952,            UNNAMED,21.7,-112.9,1952-07-20 06:00:00
EP031952,            UNNAMED,22.0,-113.6,1952-07-20 12:00:00
EP031952,            UNNAMED,22.4,-114.4,1952-07-20 18:00:00
EP031952,            UNNAMED,22.8,-115.1,1952-07-21 00:00:00
EP041952,            UNNAMED,16.5,-115.0,1952-07-24 00:00:00
EP041952,            UNNAMED,16.8,-115.4,1952-07-24 06:00:00
EP041952,            UNNAMED,17.0,-115.8,1952-07-24 12:00:00
EP041952,            UNNAMED,17.1,-116.3,1952-07-24 18:00:00
EP041952,            UNNAMED,17.1,-116.8,1952-07-25 00:00:00
EP041952,            UNNAMED,17.2,-117.7,1952-07-25 06:00:00
EP041952,            UNNAMED,17.4,-118.6,1952-07-25 12:00:00
EP041952,            UNNAMED,17.6,-119.2,1952-07-25 18:00:00
EP041952,            UNNAMED,17.8,-119.8,1952-07-26 00:00:00
EP041952,            UNNAMED,18.2,-121.0,1952-07-26 06:00:00
EP041952,            UNNAMED,18.6,-122.2,1952-07-26 12:00:00
EP041952,            UNNAMED,19.2,-123.6,1952-07-26 18:00:00
EP041952,            UNNAMED,20.0,-125.0,1952-07-27 00:00:00
EP051952,            UNNAMED,17.6,-108.1,1952-09-15 12:00:00
EP051952,            UNNAMED,18.5,-109.3,1952-09-15 18:00:00
EP051952,            UNNAMED,19.2,-110.2,1952-09-16 00:00:00
EP051952,            UNNAMED,19.8,-110.9,1952-09-16 06:00:00
EP051952,            UNNAMED,20.4,-111.5,1952-09-16 12:00:00
EP051952,            UNNAMED,21.0,-111.9,1952-09-16 18:00:00
EP051952,            UNNAMED,21.5,-112.3,1952-09-17 00:00:00
EP051952,            UNNAMED,21.8,-112.9,1952-09-17 06:00:00
EP051952,            UNNAMED,22.0,-113.6,1952-09-17 12:00:00
EP051952,            UNNAMED,22.2,-114.2,1952-09-17 18:00:00
EP051952,            UNNAMED,22.5,-114.8,1952-09-18 00:00:00
EP051952,            UNNAMED,22.7,-115.5,1952-09-18 06:00:00
EP051952,            UNNAMED,23.0,-116.3,1952-09-18 12:00:00
EP051952,            UNNAMED,23.2,-116.9,1952-09-18 18:00:00
EP051952,            UNNAMED,23.5,-117.6,1952-09-19 00:00:00
EP051952,            UNNAMED,23.8,-118.3,1952-09-19 06:00:00
EP051952,            UNNAMED,24.0,-118.9,1952-09-19 12:00:00
EP051952,            UNNAMED,24.4,-119.4,1952-09-19 18:00:00
EP051952,            UNNAMED,24.8,-119.9,1952-09-20 00:00:00
EP051952,            UNNAMED,25.2,-120.4,1952-09-20 06:00:00
EP051952,            UNNAMED,25.5,-120.9,1952-09-20 12:00:00
EP051952,            UNNAMED,25.8,-121.2,1952-09-20 18:00:00
